,Date,Month,Vévap.,Virrig.,Vdéversé,Ventrant,Camontdeb(m),H pluie (mm),Indice Evapo (mm),Rain2
0,1993-01-01,1,34.3,0.0,0.0,0.0,231.04,0.0,224,0.0
1,1993-02-01,2,29.45,0.0,0.0,0.0,230.82,0.0,192,0.0
2,1993-03-01,3,26.425,0.0,0.0,0.0,230.63,16.25,172,0.0
3,1993-04-01,4,40.13,0.0,0.0,0.0,230.41,21.3,262,0.0
10,1993-11-01,11,43.09,0.0,0.0,4.14,232.56,0.0,281,0.0
11,1993-12-01,12,36.68,0.0,0.0,0.0,231.96,0.0,239,0.0
12,1994-01-01,1,33.34,0.0,0.0,0.0,231.46,0.0,217,0.0
13,1994-02-01,2,28.52,0.0,0.0,0.0,231.1,0.0,186,0.0
14,1994-03-01,3,34.27,0.0,0.0,0.0,230.74,18.2,223,0.0
15,1994-04-01,4,38.74,0.0,0.0,8.59,230.2,24.8,253,0.0
22,1994-11-01,11,46.53,0.0,0.0,17.6,234.38,0.0,303,0.0
23,1994-12-01,12,54.81,0.0,0.0,0.0,233.85,0.0,357,0.0
24,1995-01-01,1,41.73,0.0,0.0,0.0,233.13,0.0,272,0.0
25,1995-02-01,2,42.56,0.0,0.0,0.0,232.52,0.0,278,0.0
26,1995-03-01,3,40.22,0.0,0.0,0.0,231.89,22.4,262,0.0
27,1995-04-01,4,54.07,0.0,0.0,15.69,230.85,49.35,353,0.0
34,1995-11-01,11,30.88,0.0,0.0,1.72,231.88,36.8,201,0.0
35,1995-12-01,12,31.82,0.0,0.0,0.0,231.56,0.0,208,0.0
36,1996-01-01,1,31.28,0.0,0.0,0.0,231.17,0.0,204,0.0
37,1996-02-01,2,39.12,0.0,0.0,0.0,230.6,0.0,255,0.0
38,1996-03-01,3,28.65,0.0,0.0,2.91,229.99,54.0,187,54.0
39,1996-04-01,4,25.93,0.028,0.0,0.0,229.43,11.6,169,0.0
46,1996-11-01,11,37.69,0.07,0.0,1.366,232.27,0.0,246,0.0
47,1996-12-01,12,27.278,0.054,0.0,0.0,231.83,0.0,178,0.0
48,1997-01-01,1,36.258,0.086,0.0,0.0,231.37,0.0,236,0.0
49,1997-02-01,2,41.892,0.112,0.0,0.0,230.76,0.0,273,0.0
50,1997-03-01,3,29.635,0.149,0.0,3.72,230.03,1.5,193,0.0
51,1997-04-01,4,30.793,0.175,0.0,7.123,229.33,0.0,201,0.0
58,1997-11-01,11,27.69,0.499,0.0,1.117,229.57,0.0,181,0.0
59,1997-12-01,12,22.26,0.16,0.0,0.0,228.93,0.0,145,0.0
60,1998-01-01,1,20.658,0.316,0.0,0.0,228.39,0.0,135,0.0
61,1998-02-01,2,14.886,0.65,0.0,0.0,227.98,14.3,97,0.0
62,1998-03-01,3,23.358,1.009,0.0,0.0,227.52,0.0,152,0.0
63,1998-04-01,4,17.517,1.03,0.0,16.509,226.96,83.7,114,83.7
70,1998-11-01,11,57.623,1.234,0.0,0.0,234.55,0.0,376,0.0
71,1998-12-01,12,29.347,0.45,0.0,0.0,233.96,0.0,191,0.0
72,1999-01-01,1,51.594,1.034,0.0,0.0,233.32,0.0,336,0.0
73,1999-02-01,2,41.31,1.05,0.0,0.0,232.45,0.0,269,0.0
74,1999-03-01,3,54.478,1.72,0.0,0.0,231.55,0.0,355,0.0
75,1999-04-01,4,48.84,1.813,0.0,9.24,230.6,41.05,319,0.0
82,1999-11-01,11,46.076,2.069,0.0,0.0,234.68,0.0,300,0.0
83,1999-12-01,12,47.288,1.23,0.0,0.0,234.05,0.0,308,0.0
84,2000-01-01,1,42.772,1.8,0.0,0.0,233.37,0.0,279,0.0
85,2000-02-01,2,50.634,1.79,0.0,0.0,232.66,0.0,330,0.0
86,2000-03-01,3,37.143,2.417,0.0,0.0,231.94,0.0,242,0.0
87,2000-04-01,4,59.402,2.22,0.0,0.0,231.14,8.5,387,0.0
94,2000-11-01,11,23.625,1.939,0.0,0.0,229.93,0.0,154,0.0
95,2000-12-01,12,20.047,1.18,0.0,0.0,229.47,0.0,131,0.0
96,2001-01-01,1,22.207,2.082,0.0,0.0,229.28,0.0,145,0.0
97,2001-02-01,2,18.777,2.69,0.0,0.0,229,0.0,122,0.0
98,2001-03-01,3,25.263,3.48,0.0,0.0,228.68,0.0,165,0.0
99,2001-04-01,4,24.054,3.661,0.0,0.0,228.13,21.2,157,0.0
106,2001-11-01,11,45.897,4.27,0.0,15.85,233,0.0,299,0.0
107,2001-12-01,12,38.762,2.31,0.0,0.0,232.58,0.0,253,0.0
108,2002-01-01,1,37.658,3.417,0.0,0.0,232.07,0.0,246,0.0
109,2002-02-01,2,34.102,4.433,0.0,0.0,231.43,0.0,222,0.0
110,2002-03-01,3,44.568,7.248,0.0,0.0,230.69,0.0,291,0.0
111,2002-04-01,4,28.782,7.431,0.0,0.0,229.65,31.1,188,0.0
118,2002-11-01,11,40.696,9.904,0.0,0.0,233.57,0.0,265,0.0
119,2002-12-01,12,35.285,9.473,0.0,0.0,232.95,0.0,230,0.0
120,2003-01-01,1,33.941,5.878,0.0,0.0,232.36,0.0,221,0.0
121,2003-02-01,2,34.796,6.983,0.0,0.0,231.73,7.7,227,0.0
122,2003-03-01,3,49.582,8.967,0.0,0.0,230.9,4.4,323,0.0
123,2003-04-01,4,31.216,9.157,0.0,9.406,229.83,121.0,204,121.0
130,2003-11-01,11,50.191,9.292,0.0,0.0,234.47,0.0,327,0.0
131,2003-12-01,12,20.989,8.774,0.0,0.0,233.65,0.0,137,0.0
132,2004-01-01,1,31.33,7.705,0.0,0.0,233.18,0.0,204,0.0
133,2004-02-01,2,22.07,7.641,0.0,0.0,232.62,0.0,144,0.0
134,2004-03-01,3,33.117,9.711,0.0,21.452,231.92,14.5,216,0.0
135,2004-04-01,4,37.69,9.465,0.0,58.504,231.14,115.0,246,115.0
142,2004-11-01,11,39.38,9.788,0.0,0.0,232.67,0.0,257,0.0
143,2004-12-01,12,24.07,8.957,0.0,0.0,232.03,0.0,157,0.0
144,2005-01-01,1,32.518,9.135,0.0,0.0,231.55,0.0,212,0.0
145,2005-02-01,2,30.179,9.978,0.0,0.0,231.02,0.0,197,0.0
146,2005-03-01,3,27.012,10.683,0.0,0.0,230.29,5.0,176,0.0
147,2005-04-01,4,31.992,12.518,0.0,9.681,229.42,50.5,209,50.5
154,2005-11-01,11,44.131,10.156,0.0,0.0,234.14,0.0,288,0.0
155,2005-12-01,12,48.9,8.85,0.0,0.0,233.38,0.0,319,0.0
156,2006-01-01,1,35.23,7.94,0.0,0.0,232.65,0.0,230,0.0
157,2006-02-01,2,31.37,10.37,0.0,0.0,232.11,0.0,205,0.0
158,2006-03-01,3,30.685,11.411,0.0,0.0,231.61,2.5,200,0.0
159,2006-04-01,4,47.295,13.211,0.0,11.58,231.06,28.0,308,0.0
166,2006-11-01,11,56.375,12.25,0.0,10.195,233.85,0.0,368,0.0
167,2006-12-01,12,41.482,8.867,0.0,0.0,233.04,0.0,271,0.0
168,2007-01-01,1,34.353,8.925,0.0,0.0,232.35,0.0,224,0.0
169,2007-02-01,2,28.156,10.443,0.0,0.0,231.6,0.0,184,0.0
170,2007-03-01,3,35.635,12.673,0.0,0.0,231.11,2.0,232,0.0
171,2007-04-01,4,34.88,12.789,0.0,18.15,230.22,23.8,227,0.0
178,2007-11-01,11,64.92,13.35,0.0,0.0,234.46,0.0,423,0.0
179,2007-12-01,12,34.5,10.58,0.0,0.0,233.48,0.0,225,0.0
180,2008-01-01,1,37.924,9.837,0.0,0.0,232.07,0.0,247,0.0
181,2008-02-01,2,25.907,11.174,0.0,0.0,231.37,0.0,169,0.0
182,2008-03-01,3,42.866,13.455,0.0,0.0,230.3,3.7,280,0.0
183,2008-04-01,4,36.898,14.365,0.0,0.0,229.21,21.8,241,0.0
190,2008-11-01,11,35.42,18.54,0.0,0.0,233.7,0.0,231,0.0
191,2008-12-01,12,44.34,17.03,0.0,0.0,232.9,0.0,289,0.0
192,2009-01-01,1,40.767,14.119,0.0,0.0,232.98,0.0,266,0.0
193,2009-02-01,2,21.87,14.52,0.0,0.0,232,5.8,143,0.0
194,2009-03-01,3,49.52,18.47,0.0,0.0,231,0.0,323,0.0
195,2009-04-01,4,21.786,19.057,0.0,0.0,229.9,39.1,142,0.0
202,2009-11-01,11,38.358,24.923,0.0,0.0,234.35,0.0,250,0.0
203,2009-12-01,12,36.79,18.113,0.0,0.0,233.48,0.0,240,0.0
204,2010-01-01,1,38.74,16.375,0.0,0.0,232.63,0.0,253,0.0
205,2010-02-01,2,33.26,19.155,0.0,0.0,232.61,0.0,217,0.0
206,2010-03-01,3,46.01,29.002,0.0,0.0,230.47,0.0,300,0.0
207,2010-04-01,4,27.66,26.729,0.0,9.29,228.9,15.1,180,0.0
214,2010-11-01,11,37.5,22.24,0.0,15.64,234.65,0.0,245,0.0
215,2010-12-01,12,56.54,15.81,0.0,0.0,233.68,0.0,369,0.0
216,2011-01-01,1,33.96,9.034,0.0,0.0,232.44,0.0,221,0.0
217,2011-02-01,2,37.47,12.76,0.0,0.0,231.49,0.0,244,0.0
218,2011-03-01,3,46.87,15.694,0.0,0.0,230.46,0.0,306,0.0
219,2011-04-01,4,26.46,16.571,0.0,0.0,228.97,58.4,173,58.4
226,2011-11-01,11,30.94,16.68,0.0,0.0,231.37,0.0,202,0.0
227,2011-12-01,12,41.25,11.88,0.0,0.0,230.66,0.0,269,0.0
228,2012-01-01,1,18.83,13.13,0.0,0.0,229.87,0.0,123,0.0
229,2012-02-01,2,18.52,17.52,0.0,0.0,229.32,0.0,121,0.0
230,2012-03-01,3,21.09,21.44,0.0,0.0,228.69,0.0,138,0.0
231,2012-04-01,4,19.64,22.7,0.0,11.72,227.79,44.8,128,0.0
238,2012-11-01,11,40.078,19.227,0.0,0.0,234.4,0.0,261,0.0
239,2012-12-01,12,52.03,12.328,0.0,0.0,233.37,1.8,339,0.0
240,2013-01-01,1,29.9,12.166,0.0,0.0,232.46,0.0,0,0.0
241,2013-02-01,2,40.281,17.217,0.0,0.0,231.8,0.0,0,0.0
242,2013-03-01,3,49.952,23.102,0.0,0.0,230.61,4.3,0,0.0
243,2013-04-01,4,40.239,25.049,0.0,87.42,228.96,141.2,0,141.2
250,2013-11-01,11,36.324,22.076,0.0,0.0,232.47,0.0,0,0.0
251,2013-12-01,12,43.841,12.728,0.0,0.0,231.33,0.0,0,0.0
252,2014-01-01,1,21.422,17.085,0.0,0.0,230.27,0.6,0,0.0
253,2014-02-01,2,26.468,24.548,0.0,0.0,229.48,0.0,0,0.0
254,2014-03-01,3,20.974,33.534,0.0,0.0,228.27,1.2,0,0.0
255,2014-04-01,4,25.191,40.955,0.0,39.379,226.92,43.7,0,0.0
262,2014-11-01,11,36.174,23.0,0.0,10.65,234.48,0.0,0,0.0
263,2014-12-01,12,44.791,11.856,0.0,0.0,233.84,0.0,0,0.0
264,2015-01-01,1,35.143,11.261,0.0,0.0,233.16,0.0,0,0.0
265,2015-02-01,2,28.801,19.976,0.0,0.0,232.47,0.0,0,0.0
266,2015-03-01,3,25.764,26.119,0.0,0.0,231.78,0.0,0,0.0
267,2015-04-01,4,35.416,27.553,0.0,0.0,230.89,19.2,0,0.0
274,2015-11-01,11,37.875,25.339,0.0,7.291,234.87,0.0,0,0.0
275,2015-12-01,12,40.256,21.389,0.0,0.0,234.23,0.0,0,0.0
276,2016-01-01,1,39.534,13.227,0.0,0.0,233.49,0.0,0,0.0
277,2016-02-01,2,30.675,17.764,0.0,0.0,232.77,0.0,0,0.0
278,2016-03-01,3,31.023,24.0,0.0,0.0,232.05,23.5,0,0.0
279,2016-04-01,4,48.864,23.865,0.0,21.741,230.92,30.0,0,0.0
286,2016-11-01,11,41.349,25.359,0.0,0.0,234.27,0.0,0,0.0
287,2016-12-01,12,59.832,17.795,0.0,0.0,233.16,0.0,0,0.0
288,2017-01-01,1,231.9,12.314,0.0,0.0,231.9,0.0,0,0.0
289,2017-02-01,2,231.16,21.343,0.0,0.0,231.16,0.0,0,0.0
290,2017-03-01,3,230.37,29.437,0.0,0.0,230.37,0.0,0,0.0
291,2017-04-01,4,228.88,31.092,0.0,0.0,228.88,21.5,0,0.0
298,2017-11-01,11,232.3,21.098,0.0,0.0,232.3,0.0,0,0.0
299,2017-12-01,12,231.24,19.974,0.0,0.0,231.24,0.0,0,0.0
300,2018-01-01,1,28.484,16.719,0.0,0.0,230.08,0.0,0,0.0
301,2018-02-01,2,18.989,21.343,0.0,7.334,229.11,43.8,0,0.0
302,2018-03-01,3,22.555,31.238,0.0,15.768,228.16,2.1,0,0.0
303,2018-04-01,4,14.69,38.664,0.0,18.12,227.24,8.7,0,0.0
310,2018-11-01,11,25.912,23.71,0.0,0.0,234.88,0.0,0,0.0
311,2018-12-01,12,40.26,11.659,0.0,0.0,234.27,0.0,0,0.0
312,2019-01-01,1,27.245,16.434,0.0,0.0,233.59,0.0,0,0.0
313,2019-02-01,2,30.65,23.9,0.0,0.0,232.97,0.0,0,0.0
314,2019-03-01,3,28.48,31.306,0.0,7.211,232.25,7.9,0,0.0
315,2019-04-01,4,29.768,32.14,0.0,5.485,231.3,30.0,0,0.0
322,2019-11-01,11,24.56,27.759,0.0,6.179,234.83,0.0,0,0.0
323,2019-12-01,12,38.035,18.544,0.0,0.0,234.29,0.0,0,0.0
324,2020-01-01,1,32.46,11.9,0.0,0.0,233.74,0.0,0,0.0
325,2020-02-01,2,22.28,27.209,0.0,0.0,233.41,0.0,0,0.0
326,2020-03-01,3,34.611,29.242,0.0,0.0,233.11,0.0,0,0.0
327,2020-04-01,4,31.206,29.606,14.237,14.237,232.08,26.8,0,0.0
334,2020-11-01,11,35.326,32.895,0.0,0.0,234.73,0.0,0,0.0
335,2020-12-01,12,30.275,26.268,0.0,0.0,233.78,0.0,0,0.0
336,2021-01-01,1,39.174,19.127,0.0,0.0,233.16,0.0,0,0.0
337,2021-02-01,2,22.783,28.011,0.0,0.0,232.27,0.0,0,0.0
338,2021-03-01,3,36.343,34.835,0.0,0.0,231.39,0.0,0,0.0
339,2021-04-01,4,21.154,40.275,0.0,0.0,230.1,5.1,0,0.0
346,2021-11-01,11,29.995,30.478,0.0,0.0,233.47,0.0,0,0.0
347,2021-12-01,12,32.071,22.5,0.0,0.0,232.99,0.0,0,0.0
348,2022-01-02,1,31.53,18.827,0.0,0.0,232.65,0.0,0,0.0
349,2022-02-02,2,18.537,25.375,0.0,0.0,232.36,0.0,0,0.0
350,2022-03-02,3,22.853,36.702,0.0,12.665,232.05,3.1,0,0.0
351,2022-04-02,4,32.585,37.384,0.0,49.411,231.1,13.4,0,0.0
358,2022-11-02,11,34.947,30.591,0.0,0.0,234.7,0.0,0,0.0
359,2022-12-02,12,36.076,34.383,0.0,0.0,233.72,0.0,0,0.0
